gamma,info,pi,A,Aactive,B,session,eSubj,bad,trust,honor,triad_id
2,1,0.2,0,2,1,4,413,0,0,NA,4016
2,1,0.2,1,1,0,4,416,1,1,1,4021
2,1,0.2,2,1,0,4,415,1,1,1,4021
2,1,0.2,0,1,1,4,417,1,1,1,4021
2,1,0.2,1,2,0,4,407,1,0,NA,4022
2,1,0.2,2,2,0,4,403,1,0,NA,4022
2,1,0.2,0,2,1,4,401,1,0,NA,4022
2,1,0.2,1,1,0,4,405,1,0,NA,4023
2,1,0.2,2,1,0,4,402,1,0,NA,4023
2,1,0.2,0,1,1,4,408,1,0,NA,4023
2,1,0.2,1,2,0,4,411,0,0,NA,4024
2,1,0.2,2,2,0,4,418,0,0,NA,4024
2,1,0.2,0,2,1,4,410,0,0,NA,4024
2,1,0.2,1,2,0,4,413,0,0,NA,4025
2,1,0.2,2,2,0,4,406,0,0,NA,4025
2,1,0.2,0,2,1,4,414,0,0,NA,4025
2,1,0.2,1,2,0,4,404,0,0,NA,4026
2,1,0.2,2,2,0,4,409,0,0,NA,4026
2,1,0.2,0,2,1,4,412,0,0,NA,4026
2,1,0.2,1,2,0,4,414,1,1,0,4031
2,1,0.2,2,2,0,4,404,1,1,0,4031
2,1,0.2,0,2,1,4,406,1,1,0,4031
2,1,0.2,1,2,0,4,408,1,1,1,4032
2,1,0.2,2,2,0,4,411,1,1,1,4032
2,1,0.2,0,2,1,4,409,1,1,1,4032
2,1,0.2,1,2,0,4,412,1,0,NA,4033
2,1,0.2,2,2,0,4,405,1,0,NA,4033
2,1,0.2,0,2,1,4,415,1,0,NA,4033
2,1,0.2,1,1,0,4,401,1,1,1,4034
2,1,0.2,2,1,0,4,413,1,1,1,4034
2,1,0.2,0,1,1,4,403,1,1,1,4034
2,1,0.2,1,2,0,4,417,1,1,1,4035
2,1,0.2,2,2,0,4,416,1,1,1,4035
2,1,0.2,0,2,1,4,418,1,1,1,4035
2,1,0.2,1,2,0,4,410,1,0,NA,4036
2,1,0.2,2,2,0,4,407,1,0,NA,4036
2,1,0.2,0,2,1,4,402,1,0,NA,4036
2,1,0.2,1,2,0,4,406,1,1,1,4041
2,1,0.2,2,2,0,4,412,1,1,1,4041
2,1,0.2,0,2,1,4,405,1,1,1,4041
2,1,0.2,1,1,0,4,418,1,1,1,4042
2,1,0.2,2,1,0,4,408,1,1,1,4042
2,1,0.2,0,1,1,4,413,1,1,1,4042
2,1,0.2,1,1,0,4,409,1,1,1,4043
2,1,0.2,2,1,0,4,414,1,1,1,4043
2,1,0.2,0,1,1,4,407,1,1,1,4043
2,1,0.2,1,1,0,4,415,1,1,1,4044
2,1,0.2,2,1,0,4,417,1,1,1,4044
2,1,0.2,0,1,1,4,411,1,1,1,4044
2,1,0.2,1,1,0,4,403,1,1,1,4045
2,1,0.2,2,1,0,4,410,1,1,1,4045
2,1,0.2,0,1,1,4,416,1,1,1,4045
2,1,0.2,1,1,0,4,402,0,0,NA,4046
2,1,0.2,2,1,0,4,401,0,0,NA,4046
2,1,0.2,0,1,1,4,404,0,0,NA,4046
2,1,0.2,1,1,0,4,407,1,1,1,4051
2,1,0.2,2,1,0,4,402,1,1,1,4051
2,1,0.2,0,1,1,4,401,1,1,1,4051
2,1,0.2,1,1,0,4,411,1,1,1,4052
2,1,0.2,2,1,0,4,406,1,1,1,4052
2,1,0.2,0,1,1,4,408,1,1,1,4052
2,1,0.2,1,2,0,4,404,1,1,1,4053
2,1,0.2,2,2,0,4,418,1,1,1,4053
2,1,0.2,0,2,1,4,412,1,1,1,4053
2,1,0.2,1,1,0,4,416,1,1,1,4054
2,1,0.2,2,1,0,4,409,1,1,1,4054
2,1,0.2,0,1,1,4,414,1,1,1,4054
2,1,0.2,1,2,0,4,413,0,1,1,4055
2,1,0.2,2,2,0,4,415,0,1,1,4055
2,1,0.2,0,2,1,4,417,0,1,1,4055
2,1,0.2,1,1,0,4,405,0,1,1,4056
2,1,0.2,2,1,0,4,403,0,1,1,4056
2,1,0.2,0,1,1,4,410,0,1,1,4056
2,1,0.2,1,2,0,4,412,1,1,0,4061
2,1,0.2,2,2,0,4,404,1,1,0,4061
2,1,0.2,0,2,1,4,406,1,1,0,4061
2,1,0.2,1,2,0,4,410,1,1,1,4062
2,1,0.2,2,2,0,4,407,1,1,1,4062
2,1,0.2,0,2,1,4,402,1,1,1,4062
2,1,0.2,1,1,0,4,401,1,1,1,4063
2,1,0.2,2,1,0,4,411,1,1,1,4063
2,1,0.2,0,1,1,4,418,1,1,1,4063
2,1,0.2,1,2,0,4,408,1,1,1,4064
2,1,0.2,2,2,0,4,416,1,1,1,4064
2,1,0.2,0,2,1,4,415,1,1,1,4064
2,1,0.2,1,2,0,4,417,1,1,1,4065
2,1,0.2,2,2,0,4,405,1,1,1,4065
2,1,0.2,0,2,1,4,409,1,1,1,4065
2,1,0.2,1,2,0,4,414,1,1,1,4066
2,1,0.2,2,2,0,4,413,1,1,1,4066
2,1,0.2,0,2,1,4,403,1,1,1,4066
1,0,0.2,1,1,0,4,418,1,1,1,4071
1,0,0.2,2,1,0,4,401,1,1,1,4071
1,0,0.2,0,1,1,4,413,1,1,1,4071
1,0,0.2,1,1,0,4,415,1,1,1,4072
1,0,0.2,2,1,0,4,408,1,1,1,4072
1,0,0.2,0,1,1,4,407,1,1,1,4072
1,0,0.2,1,1,0,4,406,1,1,1,4073
1,0,0.2,2,1,0,4,414,1,1,1,4073
1,0,0.2,0,1,1,4,411,1,1,1,4073
1,0,0.2,1,2,0,4,403,0,0,NA,4074
1,0,0.2,2,2,0,4,410,0,0,NA,4074
1,0,0.2,0,2,1,4,405,0,0,NA,4074
1,0,0.2,1,1,0,4,409,0,1,1,4075
1,0,0.2,2,1,0,4,417,0,1,1,4075
1,0,0.2,0,1,1,4,404,0,1,1,4075
1,0,0.2,1,1,0,4,402,0,1,1,4076
1,0,0.2,2,1,0,4,412,0,1,1,4076
1,0,0.2,0,1,1,4,416,0,1,1,4076
1,0,0.2,1,1,0,4,405,1,1,0,4081
1,0,0.2,2,1,0,4,418,1,1,0,4081
1,0,0.2,0,1,1,4,401,1,1,0,4081
1,0,0.2,1,2,0,4,411,1,1,1,4082
1,0,0.2,2,2,0,4,402,1,1,1,4082
1,0,0.2,0,2,1,4,408,1,1,1,4082
1,0,0.2,1,2,0,4,407,1,1,1,4083
1,0,0.2,2,2,0,4,409,1,1,1,4083
1,0,0.2,0,2,1,4,417,1,1,1,4083
1,0,0.2,1,1,0,4,404,1,1,1,4084
1,0,0.2,2,1,0,4,403,1,1,1,4084
1,0,0.2,0,1,1,4,410,1,1,1,4084
1,0,0.2,1,2,0,4,416,1,1,1,4085
1,0,0.2,2,2,0,4,406,1,1,1,4085
1,0,0.2,0,2,1,4,414,1,1,1,4085
1,0,0.2,1,2,0,4,413,0,1,1,4086
1,0,0.2,2,2,0,4,415,0,1,1,4086
1,0,0.2,0,2,1,4,412,0,1,1,4086
1,0,0.2,1,1,0,4,414,1,1,1,4091
1,0,0.2,2,1,0,4,411,1,1,1,4091
1,0,0.2,0,1,1,4,409,1,1,1,4091
1,0,0.2,1,2,0,4,408,1,1,1,4092
1,0,0.2,2,2,0,4,405,1,1,1,4092
1,0,0.2,0,2,1,4,415,1,1,1,4092
1,0,0.2,1,2,0,4,417,1,1,0,4093
1,0,0.2,2,2,0,4,413,1,1,0,4093
1,0,0.2,0,2,1,4,403,1,1,0,4093
1,0,0.2,1,2,0,4,410,1,1,1,4094
1,0,0.2,2,2,0,4,404,1,1,1,4094
1,0,0.2,0,2,1,4,402,1,1,1,4094
1,0,0.2,1,1,0,4,401,0,1,1,4095
1,0,0.2,2,1,0,4,416,0,1,1,4095
1,0,0.2,0,1,1,4,406,0,1,1,4095
1,0,0.2,1,1,0,4,412,0,1,1,4096
1,0,0.2,2,1,0,4,407,0,1,1,4096
1,0,0.2,0,1,1,4,418,0,1,1,4096
1,0,0.2,1,1,0,4,406,1,1,0,4101
1,0,0.2,2,1,0,4,408,1,1,0,4101
1,0,0.2,0,1,1,4,413,1,1,0,4101
1,0,0.2,1,2,0,4,402,1,1,0,4102
1,0,0.2,2,2,0,4,414,1,1,0,4102
1,0,0.2,0,2,1,4,407,1,1,0,4102
1,0,0.2,1,2,0,4,409,1,1,1,4103
1,0,0.2,2,2,0,4,410,1,1,1,4103
1,0,0.2,0,2,1,4,416,1,1,1,4103
1,0,0.2,1,2,0,4,418,1,0,NA,4104
1,0,0.2,2,2,0,4,417,1,0,NA,4104
1,0,0.2,0,2,1,4,404,1,0,NA,4104
1,0,0.2,1,1,0,4,403,1,0,NA,4105
1,0,0.2,2,1,0,4,412,1,0,NA,4105
1,0,0.2,0,1,1,4,411,1,0,NA,4105
1,0,0.2,1,2,0,4,415,0,1,1,4106
1,0,0.2,2,2,0,4,401,0,1,1,4106
1,0,0.2,0,2,1,4,405,0,1,1,4106
1,0,0.2,1,1,0,4,411,1,1,0,4111
1,0,0.2,2,1,0,4,402,1,1,0,4111
1,0,0.2,0,1,1,4,401,1,1,0,4111
1,0,0.2,1,1,0,4,416,1,1,1,4112
1,0,0.2,2,1,0,4,409,1,1,1,4112
1,0,0.2,0,1,1,4,412,1,1,1,4112
1,0,0.2,1,1,0,4,405,1,1,1,4113
1,0,0.2,2,1,0,4,415,1,1,1,4113
1,0,0.2,0,1,1,4,410,1,1,1,4113
1,0,0.2,1,2,0,4,407,1,1,0,4114
1,0,0.2,2,2,0,4,418,1,1,0,4114
1,0,0.2,0,2,1,4,414,1,1,0,4114
1,0,0.2,1,2,0,4,413,0,0,NA,4115
1,0,0.2,2,2,0,4,403,0,0,NA,4115
1,0,0.2,0,2,1,4,408,0,0,NA,4115
1,0,0.2,1,1,0,4,404,0,1,1,4116
1,0,0.2,2,1,0,4,406,0,1,1,4116
1,0,0.2,0,1,1,4,417,0,1,1,4116
1,0,0.2,1,2,0,4,408,1,1,0,4121
1,0,0.2,2,2,0,4,405,1,1,0,4121
1,0,0.2,0,2,1,4,409,1,1,0,4121
1,0,0.2,1,2,0,4,410,1,1,0,4122
1,0,0.2,2,2,0,4,404,1,1,0,4122
1,0,0.2,0,2,1,4,403,1,1,0,4122
1,0,0.2,1,1,0,4,412,1,1,0,4123
1,0,0.2,2,1,0,4,416,1,1,0,4123
1,0,0.2,0,1,1,4,406,1,1,0,4123
1,0,0.2,1,1,0,4,417,1,1,0,4124
1,0,0.2,2,1,0,4,413,1,1,0,4124
1,0,0.2,0,1,1,4,402,1,1,0,4124
1,0,0.2,1,2,0,4,401,0,0,NA,4125
1,0,0.2,2,2,0,4,407,0,0,NA,4125
1,0,0.2,0,2,1,4,415,0,0,NA,4125
1,0,0.2,1,1,0,4,414,0,1,1,4126
1,0,0.2,2,1,0,4,411,0,1,1,4126
1,0,0.2,0,1,1,4,418,0,1,1,4126
2,1,0.05,1,1,0,8,818,1,1,1,8011
2,1,0.05,2,1,0,8,817,1,1,1,8011
2,1,0.05,0,1,1,8,814,1,1,1,8011
2,1,0.05,1,2,0,8,804,1,1,0,8012
2,1,0.05,2,2,0,8,806,1,1,0,8012
2,1,0.05,0,2,1,8,808,1,1,0,8012
2,1,0.05,1,2,0,8,819,1,1,1,8013
2,1,0.05,2,2,0,8,815,1,1,1,8013
2,1,0.05,0,2,1,8,805,1,1,1,8013
2,1,0.05,1,1,0,8,802,1,0,NA,8014
2,1,0.05,2,1,0,8,807,1,0,NA,8014
2,1,0.05,0,1,1,8,809,1,0,NA,8014
2,1,0.05,1,1,0,8,820,1,0,NA,8015
2,1,0.05,2,1,0,8,821,1,0,NA,8015
2,1,0.05,0,1,1,8,801,1,0,NA,8015
2,1,0.05,1,2,0,8,811,1,0,NA,8016
2,1,0.05,2,2,0,8,812,1,0,NA,8016
2,1,0.05,0,2,1,8,810,1,0,NA,8016
2,1,0.05,1,1,0,8,803,0,1,1,8017
2,1,0.05,2,1,0,8,813,0,1,1,8017
2,1,0.05,0,1,1,8,816,0,1,1,8017
2,1,0.05,1,1,0,8,805,1,1,1,8021
2,1,0.05,2,1,0,8,818,1,1,1,8021
2,1,0.05,0,1,1,8,821,1,1,1,8021
2,1,0.05,1,2,0,8,816,1,1,1,8022
2,1,0.05,2,2,0,8,819,1,1,1,8022
2,1,0.05,0,2,1,8,806,1,1,1,8022
2,1,0.05,1,2,0,8,808,1,0,NA,8023
2,1,0.05,2,2,0,8,802,1,0,NA,8023
2,1,0.05,0,2,1,8,807,1,0,NA,8023
2,1,0.05,1,1,0,8,810,1,1,1,8024
2,1,0.05,2,1,0,8,804,1,1,1,8024
2,1,0.05,0,1,1,8,817,1,1,1,8024
2,1,0.05,1,1,0,8,814,1,1,1,8025
2,1,0.05,2,1,0,8,803,1,1,1,8025
2,1,0.05,0,1,1,8,812,1,1,1,8025
2,1,0.05,1,2,0,8,801,1,0,NA,8026
